player,overs,balls,maidens,runs,wickets,run_rate,0s,4s,6s,wd,nb,team,opponent,innings
Rashid Khan,10,60,0,31,0,3.1,35,0,0,3,0,Afghanistan,Netherlands,1
Noor Ahmad,9,54,0,31,2,3.44,36,3,0,3,0,Afghanistan,Netherlands,1
Shoriful Islam,9.3,57,0,51,2,5.36,33,7,0,1,0,Bangladesh,Sri Lanka,1
Taskin Ahmed,10,60,1,39,0,3.9,39,5,0,1,0,Bangladesh,Sri Lanka,1
Tanzim Hasan Sakib,10,60,0,80,3,8,27,8,4,2,0,Bangladesh,Sri Lanka,1
Shakib Al Hasan,10,60,0,57,2,5.7,23,1,3,0,0,Bangladesh,Sri Lanka,1
Mehidy Hasan Miraz,10,60,0,49,1,4.9,30,6,0,0,0,Bangladesh,Sri Lanka,1
Jasprit Bumrah,10,60,1,45,1,4.5,34,5,0,0,0,India,New Zealand,1
Mohammed Siraj,10,60,1,45,1,4.5,34,3,1,4,0,India,New Zealand,1
Mohammed Shami,10,60,0,54,5,5.4,32,6,1,0,0,India,New Zealand,1
Ravindra Jadeja,10,60,0,48,0,4.8,28,2,1,0,0,India,New Zealand,1
Kuldeep Yadav,10,60,0,73,2,7.3,25,3,4,3,0,India,New Zealand,1
Matt Henry,6.2,38,0,67,1,10.57,21,8,4,2,2,New Zealand,Australia,1
Trent Boult,10,60,0,77,3,7.7,25,7,3,3,0,New Zealand,Australia,1
Lockie Ferguson,3,18,0,38,0,12.66,6,3,3,0,0,New Zealand,Australia,1
Mitchell Santner,10,60,0,80,2,8,23,6,4,1,0,New Zealand,Australia,1
Glenn Phillips,10,60,0,37,3,3.7,30,2,0,0,0,New Zealand,Australia,1
Rachin Ravindra,8,48,0,56,0,7,18,5,2,0,0,New Zealand,Australia,1
James Neesham,2,12,0,32,1,16,4,1,4,0,0,New Zealand,Australia,1
Lungi Ngidi,9,54,1,57,2,6.33,31,5,1,6,1,South Africa,Netherlands,1
Marco Jansen,8,48,1,27,2,3.37,36,3,0,6,0,South Africa,Netherlands,1
Kagiso Rabada,9,54,1,56,2,6.22,30,5,2,3,0,South Africa,Netherlands,1
Gerald Coetzee,8,48,0,57,1,7.12,25,5,3,2,0,South Africa,Netherlands,1
Keshav Maharaj,9,54,0,38,1,4.22,34,5,0,0,0,South Africa,Netherlands,1
Reece Topley,8.5,53,0,88,3,9.96,23,10,4,4,0,England,South Africa,1
David Willey,9,54,1,61,0,6.77,27,6,2,3,1,England,South Africa,1
Joe Root,6.1,37,0,48,0,7.78,6,2,2,0,0,England,South Africa,1
Gus Atkinson,9,54,0,60,2,6.66,27,6,2,1,0,England,South Africa,1
Mark Wood,7,42,0,76,0,10.85,9,10,2,1,0,England,South Africa,1
Adil Rashid,10,60,0,61,2,6.1,20,4,1,0,0,England,South Africa,1
Mitchell Starc,10,60,1,34,3,3.4,46,3,1,4,0,Australia,South Africa,1
Josh Hazlewood,8,48,3,12,2,1.5,39,1,0,0,0,Australia,South Africa,1
Pat Cummins,9.4,58,0,51,3,5.27,32,5,1,2,0,Australia,South Africa,1
Adam Zampa,7,42,0,55,0,7.85,21,1,6,0,0,Australia,South Africa,1
Glenn Maxwell,10,60,0,35,0,3.5,35,3,0,0,0,Australia,South Africa,1
Travis Head,5,30,0,21,2,4.2,19,3,0,1,0,Australia,South Africa,1
Trent Boult,10,60,1,48,1,4.8,34,3,2,1,0,New Zealand,England,1
Matt Henry,10,60,1,48,3,4.8,31,6,0,0,0,New Zealand,England,1
Mitchell Santner,10,60,0,37,2,3.7,26,0,0,1,0,New Zealand,England,1
James Neesham,7,42,0,56,0,8,15,5,2,2,0,New Zealand,England,1
Rachin Ravindra,10,60,0,76,1,7.6,14,6,2,0,0,New Zealand,England,1
Glenn Phillips,3,18,0,17,2,5.66,5,1,0,0,0,New Zealand,England,1
Mitchell Starc,10,60,0,43,2,4.3,37,5,0,4,0,Australia,Sri Lanka,1
Josh Hazlewood,7,42,1,36,0,5.14,28,6,0,1,0,Australia,Sri Lanka,1
Pat Cummins,7,42,0,32,2,4.57,24,4,0,1,0,Australia,Sri Lanka,1
Glenn Maxwell,9.3,57,0,36,1,3.78,30,2,0,1,0,Australia,Sri Lanka,1
Adam Zampa,8,48,1,47,4,5.87,26,5,1,2,0,Australia,Sri Lanka,1
Marcus Stoinis,2,12,0,11,0,5.5,5,1,0,0,0,Australia,Sri Lanka,1
Taskin Ahmed,6,36,0,32,1,5.33,23,3,1,1,0,Bangladesh,Afghanistan,1
Shoriful Islam,6.2,38,1,34,2,5.36,23,5,0,2,0,Bangladesh,Afghanistan,1
Mustafizur Rahman,7,42,1,28,1,4,26,2,1,0,0,Bangladesh,Afghanistan,1
Shakib Al Hasan,8,48,0,30,3,3.75,28,3,0,0,0,Bangladesh,Afghanistan,1
Mehidy Hasan Miraz,9,54,3,25,3,2.77,38,1,0,1,0,Bangladesh,Afghanistan,1
Mahmudullah,1,6,0,7,0,7,3,1,0,0,0,Bangladesh,Afghanistan,1
Jasprit Bumrah,10,60,0,35,2,3.5,41,1,1,4,0,India,Australia,1
Mohammed Siraj,6.3,39,1,26,1,4,26,3,0,2,0,India,Australia,1
Hardik Pandya,3,18,0,28,1,9.33,8,6,0,0,0,India,Australia,1
Ravichandran Ashwin,10,60,1,34,1,3.4,32,2,0,0,0,India,Australia,1
