player,overs,balls,maidens,runs,wickets,run_rate,0s,4s,6s,wd,nb,team,opponent,innings
Kuldeep Yadav,2,12,0,3,0,1.5,9,0,0,0,0,India,Sri Lanka,2
Ravindra Jadeja,0.4,4,0,4,1,6,3,1,0,0,0,India,Sri Lanka,2
Shaheen Shah Afridi,7,42,0,37,1,5.28,26,5,0,2,0,Pakistan,Netherlands,2
Hasan Ali,7,42,1,33,2,4.71,31,6,0,4,0,Pakistan,Netherlands,2
Haris Rauf,9,54,0,43,3,4.77,33,5,1,2,0,Pakistan,Netherlands,2
Iftikhar Ahmed,3,18,0,16,1,5.33,7,1,0,0,0,Pakistan,Netherlands,2
Mohammad Nawaz,7,42,0,31,1,4.42,23,2,1,0,0,Pakistan,Netherlands,2
Shadab Khan,8,48,0,45,1,5.62,23,1,2,1,0,Pakistan,Netherlands,2
Jasprit Bumrah,9,54,2,43,2,4.77,37,8,0,0,0,India,Australia,2
Mohammed Shami,7,42,1,47,1,6.71,28,6,1,3,0,India,Australia,2
Ravindra Jadeja,10,60,0,43,0,4.3,29,1,1,1,0,India,Australia,2
Kuldeep Yadav,10,60,0,56,0,5.6,25,3,2,0,0,India,Australia,2
Mohammed Siraj,7,42,0,45,1,6.42,16,4,1,0,0,India,Australia,2
Jasprit Bumrah,6.5,41,1,32,3,4.68,31,3,2,2,0,India,England,2
Mohammed Siraj,6,36,0,33,0,5.5,22,3,1,2,0,India,England,2
Mohammed Shami,7,42,2,22,4,3.14,33,3,0,2,0,India,England,2
Kuldeep Yadav,8,48,0,24,2,3,28,1,0,0,0,India,England,2
Ravindra Jadeja,7,42,1,16,1,2.28,27,0,0,0,0,India,England,2
Aryan Dutt,10,60,0,44,3,4.4,38,3,1,2,0,Netherlands,Sri Lanka,2
Logan van Beek,10,60,0,57,0,5.7,36,6,2,0,0,Netherlands,Sri Lanka,2
Paul van Meekeren,8,48,1,39,1,4.87,29,4,0,2,0,Netherlands,Sri Lanka,2
Bas de Leede,3,18,0,29,0,9.66,7,4,0,2,0,Netherlands,Sri Lanka,2
Roelof van der Merwe,9,54,0,42,0,4.66,25,3,0,1,0,Netherlands,Sri Lanka,2
Colin Ackermann,8.2,50,0,39,1,4.68,25,3,0,0,0,Netherlands,Sri Lanka,2
Marco Jansen,8,48,0,39,2,4.87,34,5,0,5,0,South Africa,Bangladesh,2
Lizaad Williams,8.4,52,1,56,2,6.46,33,7,2,5,0,South Africa,Bangladesh,2
Gerald Coetzee,10,60,0,62,3,6.2,36,8,2,1,1,South Africa,Bangladesh,2
Kagiso Rabada,10,60,1,42,2,4.2,36,3,1,0,1,South Africa,Bangladesh,2
Keshav Maharaj,10,60,0,32,1,3.2,36,2,0,1,0,South Africa,Bangladesh,2
Mustafizur Rahman,8,48,0,36,1,4.5,26,3,0,3,0,Bangladesh,New Zealand,2
Shoriful Islam,7.5,47,1,43,0,5.48,30,5,1,3,0,Bangladesh,New Zealand,2
Taskin Ahmed,8,48,0,56,0,7,20,6,1,3,0,Bangladesh,New Zealand,2
Shakib Al Hasan,10,60,0,54,1,5.4,30,2,3,0,0,Bangladesh,New Zealand,2
Mehidy Hasan Miraz,9,54,0,58,0,6.44,17,4,1,1,0,Bangladesh,New Zealand,2
Shaheen Shah Afridi,6,36,0,36,2,6,21,5,1,1,0,Pakistan,India,2
Hasan Ali,6,36,0,34,1,5.66,23,7,0,0,0,Pakistan,India,2
Mohammad Nawaz,8.3,51,0,47,0,5.52,23,3,2,0,0,Pakistan,India,2
Haris Rauf,6,36,0,43,0,7.16,14,1,3,0,0,Pakistan,India,2
Shadab Khan,4,24,0,31,0,7.75,10,2,2,0,0,Pakistan,India,2
Dilshan Madushanka,6.2,38,0,58,0,9.15,16,11,0,1,0,Sri Lanka,New Zealand,2
Maheesh Theekshana,7,42,0,43,1,6.14,24,6,1,0,0,Sri Lanka,New Zealand,2
Dhananjaya de Silva,2,12,0,22,0,11,3,1,2,0,0,Sri Lanka,New Zealand,2
Dushmantha Chameera,4,24,1,20,1,5,17,1,2,0,0,Sri Lanka,New Zealand,2
Angelo Mathews,4,24,0,29,2,7.25,10,4,0,1,0,Sri Lanka,New Zealand,2
Jasprit Bumrah,10,60,1,64,1,6.4,32,6,1,6,0,India,New Zealand,2
Mohammed Siraj,9,54,0,78,1,8.66,26,10,3,3,0,India,New Zealand,2
Mohammed Shami,9.5,59,0,57,7,5.79,37,3,4,2,0,India,New Zealand,2
Ravindra Jadeja,10,60,0,63,0,6.3,29,3,3,0,1,India,New Zealand,2
Kuldeep Yadav,10,60,0,56,1,5.6,26,6,0,0,0,India,New Zealand,2
Aryan Dutt,8.3,51,0,49,0,5.76,25,6,0,3,0,Netherlands,Afghanistan,2
Logan van Beek,7,42,0,30,1,4.28,26,3,0,2,0,Netherlands,Afghanistan,2
Paul van Meekeren,5,30,0,35,0,7,15,6,0,1,1,Netherlands,Afghanistan,2
Roelof van der Merwe,5,30,0,27,1,5.4,11,2,0,0,0,Netherlands,Afghanistan,2
Saqib Zulfiqar,3,18,0,25,1,8.33,8,4,0,0,1,Netherlands,Afghanistan,2
Colin Ackermann,3,18,0,12,0,4,8,0,0,1,0,Netherlands,Afghanistan,2
Dilshan Madushanka,10,60,1,69,3,6.9,35,7,3,4,0,Sri Lanka,Bangladesh,2
Maheesh Theekshana,9,54,0,44,2,4.88,34,6,0,3,0,Sri Lanka,Bangladesh,2
Kasun Rajitha,4,24,0,47,0,11.75,7,5,3,0,0,Sri Lanka,Bangladesh,2
Dushmantha Chameera,8,48,0,54,0,6.75,25,8,1,2,0,Sri Lanka,Bangladesh,2
Angelo Mathews,7.1,43,1,35,2,4.88,24,4,0,1,0,Sri Lanka,Bangladesh,2
Dhananjaya de Silva,3,18,0,20,0,6.66,8,3,0,0,0,Sri Lanka,Bangladesh,2
Trent Boult,10,60,0,60,1,6,33,6,2,1,0,New Zealand,India,2
Matt Henry,9,54,0,55,1,6.11,31,7,2,0,0,New Zealand,India,2
Mitchell Santner,10,60,0,37,1,3.7,32,1,1,0,0,New Zealand,India,2
Lockie Ferguson,8,48,0,63,2,7.87,22,11,0,2,0,New Zealand,India,2
Rachin Ravindra,9,54,0,46,0,5.11,28,3,2,1,0,New Zealand,India,2
Glenn Phillips,2,12,0,12,0,6,3,1,0,0,0,New Zealand,India,2
Mitchell Starc,9,54,0,89,0,9.88,21,6,3,9,0,Australia,New Zealand,2
Josh Hazlewood,9,54,0,70,2,7.77,24,9,2,1,0,Australia,New Zealand,2
Pat Cummins,10,60,0,66,2,6.6,26,7,1,3,0,Australia,New Zealand,2
Glenn Maxwell,10,60,0,62,1,6.2,22,4,2,0,0,Australia,New Zealand,2
Adam Zampa,10,60,0,74,3,7.4,22,6,3,0,0,Australia,New Zealand,2
Mitchell Marsh,2,12,0,18,0,9,3,1,1,1,0,Australia,New Zealand,2
Aryan Dutt,5,30,1,19,0,3.8,21,3,0,0,0,Netherlands,South Africa,2
Logan van Beek,8.5,53,0,60,3,6.79,30,7,2,1,1,Netherlands,South Africa,2
Colin Ackermann,3,18,0,16,1,5.33,13,2,1,0,0,Netherlands,South Africa,2
Paul van Meekeren,9,54,0,40,2,4.44,33,4,1,0,0,Netherlands,South Africa,2
Roelof van der Merwe,9,54,0,34,2,3.77,29,1,1,0,0,Netherlands,South Africa,2
Bas de Leede,8,48,0,36,2,4.5,28,3,0,4,0,Netherlands,South Africa,2
Lungi Ngidi,5,30,1,26,2,5.2,23,2,2,3,0,South Africa,England,2
Marco Jansen,5,30,0,35,2,7,19,4,2,1,0,South Africa,England,2
Kagiso Rabada,6,36,1,38,1,6.33,24,6,1,0,1,South Africa,England,2
Gerald Coetzee,4,24,0,35,3,8.75,13,5,1,1,0,South Africa,England,2
Keshav Maharaj,2,12,0,27,1,13.5,4,1,3,0,0,South Africa,England,2
Marco Jansen,4.2,26,0,35,0,8.07,18,6,1,4,0,South Africa,Australia,2
Kagiso Rabada,6,36,0,41,1,6.83,24,2,4,1,1,South Africa,Australia,2
Aiden Markram,8,48,1,23,1,2.87,34,1,1,1,0,South Africa,Australia,2
Gerald Coetzee,9,54,0,47,2,5.22,35,8,0,1,1,South Africa,Australia,2
Tabraiz Shamsi,10,60,0,42,2,4.2,36,3,0,5,0,South Africa,Australia,2
Keshav Maharaj,10,60,0,24,1,2.4,39,1,0,0,0,South Africa,Australia,2
Chris Woakes,6,36,0,45,0,7.5,18,7,1,0,0,England,New Zealand,2
Sam Curran,6,36,2,47,1,7.83,17,6,1,2,0,England,New Zealand,2
Mark Wood,5,30,0,55,0,11,9,7,2,1,0,England,New Zealand,2
Moeen Ali,9.2,56,0,60,0,6.42,20,2,3,0,0,England,New Zealand,2
Adil Rashid,7,42,0,47,0,6.71,15,4,1,0,0,England,New Zealand,2
Liam Livingstone,3,18,0,24,0,8,7,4,0,0,0,England,New Zealand,2
Lahiru Kumara,4,24,0,47,0,11.75,8,5,2,0,0,Sri Lanka,Australia,2
Dilshan Madushanka,9,54,2,38,3,4.22,34,5,0,1,0,Sri Lanka,Australia,2
Maheesh Theekshana,7,42,0,49,0,7,19,5,2,0,0,Sri Lanka,Australia,2
Dunith Wellalage,9.2,56,0,53,1,5.67,29,6,1,0,0,Sri Lanka,Australia,2
Chamika Karunaratne,3,18,0,15,0,5,9,1,0,2,0,Sri Lanka,Australia,2
Dhananjaya de Silva,3,18,0,13,0,4.33,8,0,0,0,0,Sri Lanka,Australia,2
Fazalhaq Farooqi,5,30,0,19,1,3.8,22,2,0,2,0,Afghanistan,Bangladesh,2
Mujeeb Ur Rahman,7,42,0,30,0,4.28,26,3,1,0,0,Afghanistan,Bangladesh,2
Naveen-ul-Haq,5.4,34,0,31,1,5.47,14,2,0,1,1,Afghanistan,Bangladesh,2
Rashid Khan,9,54,0,48,0,5.33,24,5,0,0,0,Afghanistan,Bangladesh,2
Mohammad Nabi,6,36,1,18,0,3,20,0,0,1,0,Afghanistan,Bangladesh,2
Azmatullah Omarzai,2,12,0,9,1,4.5,7,1,0,0,0,Afghanistan,Bangladesh,2
Mitchell Starc,8,48,0,31,1,3.87,28,2,0,3,0,Australia,India,2
Josh Hazlewood,9,54,1,38,3,4.22,33,3,1,1,0,Australia,India,2
Pat Cummins,6.2,38,0,33,0,5.21,19,2,1,1,1,Australia,India,2
Glenn Maxwell,8,48,0,33,0,4.12,24,1,1,0,0,Australia,India,2
Cameron Green,2,12,0,11,0,5.5,7,2,0,0,0,Australia,India,2
Adam Zampa,8,48,0,53,0,6.62,13,4,0,0,0,Australia,India,2
Mitchell Starc,10,60,0,66,2,6.6,29,7,1,4,0,Australia,England,2
Josh Hazlewood,9.1,55,1,49,2,5.34,34,6,1,2,0,Australia,England,2
Pat Cummins,10,60,1,49,2,4.9,32,5,1,0,0,Australia,England,2
Adam Zampa,10,60,0,21,3,2.1,41,0,0,2,0,Australia,England,2
Travis Head,5,30,0,28,0,5.6,12,0,2,0,0,Australia,England,2
Marcus Stoinis,4,24,0,34,1,8.5,8,4,1,0,0,Australia,England,2
Taskin Ahmed,10,60,0,61,1,6.1,30,6,2,1,0,Bangladesh,Australia,2
Mahedi Hasan,9,54,0,38,0,4.22,29,3,0,1,0,Bangladesh,Australia,2
Nasum Ahmed,10,60,0,85,0,8.5,21,9,3,1,0,Bangladesh,Australia,2
Mehidy Hasan Miraz,6,36,0,47,0,7.83,13,3,3,0,0,Bangladesh,Australia,2
Mustafizur Rahman,9.4,58,1,76,1,7.86,20,8,2,1,0,Bangladesh,Australia,2
Chris Woakes,8,48,0,49,2,6.12,24,6,0,0,0,England,Bangladesh,2
Reece Topley,10,60,1,43,4,4.3,35,3,1,0,0,England,Bangladesh,2
Sam Curran,7.2,44,0,47,1,6.4,15,5,0,2,0,England,Bangladesh,2
Mark Wood,10,60,0,29,1,2.9,38,2,0,1,0,England,Bangladesh,2
Adil Rashid,10,60,0,42,1,4.2,31,1,1,0,0,England,Bangladesh,2
Liam Livingstone,3,18,0,13,1,4.33,11,0,1,0,0,England,Bangladesh,2
Mujeeb Ur Rahman,10,60,1,51,3,5.1,31,2,1,1,0,Afghanistan,England,2
Fazalhaq Farooqi,7,42,0,50,1,7.14,23,9,0,2,0,Afghanistan,England,2
Naveen-ul-Haq,6,36,1,44,1,7.33,17,8,0,0,1,Afghanistan,England,2
Mohammad Nabi,6,36,0,16,2,2.66,23,0,0,1,0,Afghanistan,England,2
Rashid Khan,9.3,57,1,37,3,3.89,30,3,0,0,0,Afghanistan,England,2
Azmatullah Omarzai,2,12,0,13,0,6.5,5,2,0,0,0,Afghanistan,England,2
Chris Woakes,6,36,0,30,0,5,21,4,0,2,0,England,Sri Lanka,2
David Willey,5,30,0,30,2,6,18,5,0,1,0,England,Sri Lanka,2
Adil Rashid,4.4,28,0,39,0,8.35,9,1,3,0,0,England,Sri Lanka,2
Mark Wood,4,24,0,23,0,5.75,12,3,0,0,0,England,Sri Lanka,2
Liam Livingstone,3,18,0,17,0,5.66,8,2,0,0,0,England,Sri Lanka,2
Moeen Ali,3,18,0,21,0,7,5,2,0,0,0,England,Sri Lanka,2
Trent Boult,8,48,0,34,0,4.25,29,3,0,1,0,New Zealand,Netherlands,2
Matt Henry,8.3,51,0,40,3,4.7,29,4,0,0,0,New Zealand,Netherlands,2
Mitchell Santner,10,60,0,59,5,5.9,30,4,2,0,0,New Zealand,Netherlands,2
Lockie Ferguson,8,48,0,32,0,4,31,5,0,0,0,New Zealand,Netherlands,2
Rachin Ravindra,10,60,0,46,1,4.6,30,3,1,0,1,New Zealand,Netherlands,2
Glenn Phillips,2,12,0,11,0,5.5,2,0,0,0,0,New Zealand,Netherlands,2
Mujeeb Ur Rahman,8.5,53,1,72,0,8.15,28,8,4,0,0,Afghanistan,Australia,2
Naveen-ul-Haq,9,54,0,47,2,5.22,34,5,2,1,0,Afghanistan,Australia,2
Azmatullah Omarzai,7,42,1,52,2,7.42,25,7,2,1,0,Afghanistan,Australia,2
Rashid Khan,10,60,0,44,2,4.4,36,3,1,3,0,Afghanistan,Australia,2
Noor Ahmad,10,60,1,53,0,5.3,36,4,2,1,0,Afghanistan,Australia,2
Mohammad Nabi,2,12,0,20,0,10,6,3,1,0,0,Afghanistan,Australia,2
Iftikhar Ahmed,3,18,0,23,0,7.66,9,1,1,1,0,Pakistan,South Africa,2
Shaheen Shah Afridi,10,60,0,45,3,4.5,37,5,0,3,0,Pakistan,South Africa,2
Mohammad Nawaz,6.2,38,0,40,0,6.31,15,4,1,0,0,Pakistan,South Africa,2
Haris Rauf,10,60,0,62,2,6.2,29,3,3,2,0,Pakistan,South Africa,2
Mohammad Wasim,10,60,1,50,2,5,37,7,0,3,0,Pakistan,South Africa,2
Usama Mir,8,48,0,45,2,5.62,25,1,3,1,0,Pakistan,South Africa,2
Marco Jansen,8,48,1,31,3,3.87,29,3,0,1,1,South Africa,New Zealand,2
Lungi Ngidi,6,36,1,28,0,4.66,23,4,0,0,0,South Africa,New Zealand,2
Kagiso Rabada,6,36,2,16,1,2.66,27,2,0,0,0,South Africa,New Zealand,2
Gerald Coetzee,6.3,39,0,41,2,6.3,24,5,1,1,0,South Africa,New Zealand,2
Keshav Maharaj,9,54,0,46,4,5.11,32,3,3,0,0,South Africa,New Zealand,2
Lungi Ngidi,8,48,1,49,1,6.12,30,3,4,2,0,South Africa,Sri Lanka,2
Marco Jansen,10,60,0,92,2,9.2,31,10,6,3,0,South Africa,Sri Lanka,2
Kagiso Rabada,7.5,47,0,50,2,6.38,22,3,2,2,1,South Africa,Sri Lanka,2
Keshav Maharaj,10,60,0,62,2,6.2,33,6,2,2,0,South Africa,Sri Lanka,2
Gerald Coetzee,9,54,0,68,3,7.55,26,7,3,1,0,South Africa,Sri Lanka,2
Mitchell Starc,4,24,0,22,1,5.5,19,5,0,2,0,Australia,Netherlands,2
Josh Hazlewood,6,36,0,27,1,4.5,25,4,0,2,0,Australia,Netherlands,2
Pat Cummins,4,24,0,14,1,3.5,16,2,0,0,0,Australia,Netherlands,2
Mitchell Marsh,4,24,0,19,2,4.75,15,2,0,3,0,Australia,Netherlands,2
Adam Zampa,3,18,0,8,4,2.66,10,0,0,0,0,Australia,Netherlands,2
Shoriful Islam,8,48,0,54,0,6.75,25,6,2,0,0,Bangladesh,India,2
Mustafizur Rahman,5,30,0,29,0,5.8,17,5,0,0,0,Bangladesh,India,2
Nasum Ahmed,9.3,57,0,60,0,6.31,30,4,4,0,0,Bangladesh,India,2
Hasan Mahmud,8,48,0,65,1,8.12,22,5,3,1,2,Bangladesh,India,2
Mehidy Hasan Miraz,10,60,0,47,2,4.7,24,3,0,1,0,Bangladesh,India,2
Mahmudullah,1,6,0,6,0,6,0,0,0,0,0,Bangladesh,India,2
Lungi Ngidi,8,48,2,18,1,2.25,35,0,0,1,0,South Africa,Australia,2
Marco Jansen,7,42,0,54,2,7.71,24,8,0,3,1,South Africa,Australia,2
Kagiso Rabada,8,48,1,33,3,4.12,35,5,0,1,1,South Africa,Australia,2
Keshav Maharaj,10,60,0,30,2,3,40,2,0,2,0,South Africa,Australia,2
Tabraiz Shamsi,7.5,47,0,38,2,4.85,24,4,0,0,0,South Africa,Australia,2
Trent Boult,7,42,1,18,2,2.57,32,1,0,2,0,New Zealand,Afghanistan,2
Matt Henry,5,30,2,16,1,3.2,22,1,1,0,0,New Zealand,Afghanistan,2
Mitchell Santner,7.4,46,0,39,3,5.08,24,3,1,1,0,New Zealand,Afghanistan,2
Lockie Ferguson,7,42,1,19,3,2.71,32,2,0,1,0,New Zealand,Afghanistan,2
Glenn Phillips,3,18,0,13,0,4.33,7,0,0,1,0,New Zealand,Afghanistan,2
Rachin Ravindra,5,30,0,34,1,6.8,11,4,0,0,0,New Zealand,Afghanistan,2
Dilshan Madushanka,9,54,0,48,2,5.33,28,4,1,3,0,Sri Lanka,Afghanistan,2
Kasun Rajitha,10,60,0,48,1,4.8,37,4,1,2,0,Sri Lanka,Afghanistan,2
Angelo Mathews,3,18,0,18,0,6,8,2,0,0,0,Sri Lanka,Afghanistan,2
Dushmantha Chameera,9.2,56,0,51,0,5.46,29,4,2,0,0,Sri Lanka,Afghanistan,2
Maheesh Theekshana,10,60,0,55,0,5.5,25,3,1,3,0,Sri Lanka,Afghanistan,2
Dhananjaya de Silva,4,24,0,21,0,5.25,9,2,0,0,0,Sri Lanka,Afghanistan,2
Jasprit Bumrah,5,30,0,14,0,2.8,23,2,0,1,0,India,South Africa,2
Mohammed Siraj,4,24,1,11,1,2.75,18,1,0,0,0,India,South Africa,2
Ravindra Jadeja,9,54,1,33,5,3.66,37,5,0,0,0,India,South Africa,2
Mohammed Shami,4,24,0,18,2,4.5,16,2,0,1,0,India,South Africa,2
Kuldeep Yadav,5.1,31,1,7,2,1.35,24,0,0,0,0,India,South Africa,2
Mitchell Starc,8,48,0,65,1,8.12,22,10,0,6,0,Australia,Pakistan,2
Josh Hazlewood,10,60,1,37,1,3.7,40,5,0,1,0,Australia,Pakistan,2
Pat Cummins,7.3,45,0,62,2,8.26,22,6,4,0,0,Australia,Pakistan,2
Adam Zampa,10,60,0,53,4,5.3,25,3,1,1,0,Australia,Pakistan,2
Glenn Maxwell,5,30,0,40,0,8,10,6,0,0,0,Australia,Pakistan,2
Marcus Stoinis,5,30,0,40,2,8,10,4,1,3,0,Australia,Pakistan,2
Chris Woakes,7,42,0,19,1,2.71,33,2,0,2,0,England,Netherlands,2
David Willey,7,42,2,19,2,2.71,33,3,0,0,0,England,Netherlands,2
Gus Atkinson,7,42,0,41,0,5.85,25,4,2,1,0,England,Netherlands,2
Moeen Ali,8.2,50,0,42,3,5.04,23,1,2,0,0,England,Netherlands,2
Adil Rashid,8,48,0,54,3,6.75,22,5,2,1,0,England,Netherlands,2
Taskin Ahmed,6,36,1,36,0,6,21,2,3,0,0,Bangladesh,Pakistan,2
Shoriful Islam,4,24,1,25,0,6.25,16,3,1,1,0,Bangladesh,Pakistan,2
Mehidy Hasan Miraz,9,54,0,60,3,6.66,25,3,4,0,0,Bangladesh,Pakistan,2
Mustafizur Rahman,7,42,0,47,0,6.71,23,9,0,1,0,Bangladesh,Pakistan,2
Shakib Al Hasan,5.3,33,0,30,0,5.45,13,1,1,0,0,Bangladesh,Pakistan,2
Najmul Hossain Shanto,1,6,0,5,0,5,4,1,0,0,0,Bangladesh,Pakistan,2
Maheesh Theekshana,10,60,0,59,1,5.9,23,3,0,1,0,Sri Lanka,Pakistan,2
Dilshan Madushanka,9.2,56,0,60,2,6.42,27,5,1,2,1,Sri Lanka,Pakistan,2
Dasun Shanaka,5,30,0,28,0,5.6,10,2,0,0,0,Sri Lanka,Pakistan,2
Matheesha Pathirana,9,54,0,90,1,10,14,8,1,9,0,Sri Lanka,Pakistan,2
Dunith Wellalage,10,60,0,62,0,6.2,24,4,2,0,0,Sri Lanka,Pakistan,2
Dhananjaya de Silva,4,24,0,36,0,9,7,3,2,0,0,Sri Lanka,Pakistan,2
Charith Asalanka,1,6,0,10,0,10,1,1,0,0,0,Sri Lanka,Pakistan,2
Jasprit Bumrah,9,54,1,33,2,3.66,35,3,0,1,0,India,Netherlands,2
Mohammed Siraj,6,36,1,29,2,4.83,23,5,0,1,0,India,Netherlands,2
Mohammed Shami,6,36,0,41,0,6.83,15,4,1,1,0,India,Netherlands,2
Kuldeep Yadav,10,60,1,41,2,4.1,39,1,3,0,0,India,Netherlands,2
Ravindra Jadeja,9,54,0,49,2,5.44,31,4,2,1,0,India,Netherlands,2
Virat Kohli,3,18,0,13,1,4.33,10,1,0,0,0,India,Netherlands,2
Shubman Gill,2,12,0,11,0,5.5,4,1,0,0,0,India,Netherlands,2
Suryakumar Yadav,2,12,0,17,0,8.5,5,0,2,0,0,India,Netherlands,2
Rohit Sharma,0.5,5,0,7,1,8.4,3,0,1,0,0,India,Netherlands,2
Trent Boult,6,36,0,50,0,8.33,20,7,2,2,0,New Zealand,Pakistan,2
Tim Southee,5,30,0,27,1,5.4,17,1,2,0,0,New Zealand,Pakistan,2
Mitchell Santner,5,30,0,35,0,7,13,1,3,0,0,New Zealand,Pakistan,2
Glenn Phillips,5,30,1,42,0,8.4,13,3,3,0,0,New Zealand,Pakistan,2
Ish Sodhi,4,24,0,44,0,11,6,3,3,1,0,New Zealand,Pakistan,2
Daryl Mitchell,0.3,3,0,1,0,2,2,0,0,0,0,New Zealand,Pakistan,2
Fazalhaq Farooqi,6,36,0,50,0,8.33,17,6,2,1,0,Afghanistan,India,2
Mujeeb Ur Rahman,8,48,0,64,0,8,18,6,1,3,0,Afghanistan,India,2
Naveen-ul-Haq,5,30,0,31,0,6.2,16,4,1,0,0,Afghanistan,India,2
Azmatullah Omarzai,4,24,0,34,0,8.5,12,5,1,1,0,Afghanistan,India,2
Mohammad Nabi,4,24,0,32,0,8,11,3,2,0,0,Afghanistan,India,2
Rashid Khan,8,48,0,57,2,7.12,12,4,1,1,0,Afghanistan,India,2
Shaheen Shah Afridi,10,60,0,58,1,5.8,27,5,0,2,0,Pakistan,Afghanistan,2
Hasan Ali,10,60,1,44,1,4.4,42,4,2,1,0,Pakistan,Afghanistan,2
Haris Rauf,8,48,1,53,0,6.62,19,6,0,3,0,Pakistan,Afghanistan,2
Usama Mir,8,48,0,55,0,6.87,19,6,0,2,1,Pakistan,Afghanistan,2
Shadab Khan,8,48,0,49,0,6.12,22,6,0,0,0,Pakistan,Afghanistan,2
Iftikhar Ahmed,5,30,0,27,0,5.4,15,1,1,0,0,Pakistan,Afghanistan,2
Mujeeb Ur Rahman,10,60,0,51,1,5.1,33,4,2,1,0,Afghanistan,South Africa,2
Naveen-ul-Haq,6.3,39,0,52,0,8,16,2,4,1,0,Afghanistan,South Africa,2
Mohammad Nabi,10,60,1,35,2,3.5,36,3,0,0,0,Afghanistan,South Africa,2
Azmatullah Omarzai,1,6,0,8,0,8,3,0,1,0,0,Afghanistan,South Africa,2
Rashid Khan,10,60,1,37,2,3.7,38,2,1,1,0,Afghanistan,South Africa,2
Noor Ahmad,9,54,0,49,0,5.44,23,3,0,3,0,Afghanistan,South Africa,2
Rahmat Shah,1,6,0,12,0,12,2,1,1,0,0,Afghanistan,South Africa,2
Aryan Dutt,10,60,3,26,1,2.6,48,3,1,0,0,Netherlands,Bangladesh,2
Logan van Beek,9,54,1,30,1,3.33,39,3,0,4,0,Netherlands,Bangladesh,2
Colin Ackermann,7,42,1,25,1,3.57,29,2,1,0,0,Netherlands,Bangladesh,2
Paul van Meekeren,7.2,44,0,23,4,3.13,30,2,0,2,0,Netherlands,Bangladesh,2
Bas de Leede,7,42,0,25,2,3.57,30,4,0,0,0,Netherlands,Bangladesh,2
Shariz Ahmad,2,12,0,13,0,6.5,5,2,0,0,0,Netherlands,Bangladesh,2
David Willey,10,60,0,56,3,5.6,37,8,1,2,0,England,Pakistan,2
Chris Woakes,5.3,33,0,27,1,4.9,22,5,0,0,0,England,Pakistan,2
Adil Rashid,10,60,0,55,2,5.5,26,4,1,1,0,England,Pakistan,2
Gus Atkinson,8,48,0,45,2,5.62,29,3,3,2,0,England,Pakistan,2
Moeen Ali,10,60,0,60,2,6,27,7,1,0,0,England,Pakistan,2
